created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 17 23:59:51 +0000 2024;1747770740945096959;Waww Galaxy S24 bikin naksir banget dengan fitur lengkap Nonton Live Samsung Unpacked ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1699951410752933888;1747770740945096959;zbdjddndjdj126;https://twitter.com/zbdjddndjdj126/status/1747770740945096959
Wed Jan 17 23:59:43 +0000 2024;1747770708032459241;Tertarik gaksih beli Galaxy S24 abis Nonton Live Samsung Unpacked tadi malem hiks, jadi pengen ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1646963483324604417;1747770708032459241;hannamiraali;https://twitter.com/hannamiraali/status/1747770708032459241
Wed Jan 17 23:59:42 +0000 2024;1747770703703888275;Bener2 bikin tertarik Galaxy S24 Nonton Live Samsung Unpacked ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1574914638160211968;1747770703703888275;naddnann;https://twitter.com/naddnann/status/1747770703703888275
Wed Jan 17 23:59:39 +0000 2024;1747770689942061144;Samsung anunció el Galaxy S24 Ultra, su celular más poderoso. #XatakaMicro con las mejores noticias del 17 de enero de 2024. #TechNews #Samsung #GalaxyUnpacked #GalaxyS24Ultra #Snapdragon #Exynos #Ultra #WhatsApp #Precios #NBA #PrimeVideo #Amazon #Ubisoft https://t.co/TLW6Rs9mjK;1;0;0;5;es;338236151;1747770689942061144;XatakaMexico;https://twitter.com/XatakaMexico/status/1747770689942061144
Wed Jan 17 23:59:35 +0000 2024;1747770676638101505;Galaxy S24 secakep itu gutsss kalian harus Nonton Live Samsung Unpacked pasti bikin pengen ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1559010697178398720;1747770676638101505;arciliuz;https://twitter.com/arciliuz/status/1747770676638101505
Wed Jan 17 23:59:28 +0000 2024;1747770643213623677;Marii gass guyss buat ikutan pre-order Galaxy S24 nihh, soalnya beneran Canggih banget gue abis Nonton Live Samsung Unpacked tadi #SamsungUnpacked    #GalaxyS24    @samsungID;0;0;0;0;in;930792795874271232;1747770643213623677;hitorli;https://twitter.com/hitorli/status/1747770643213623677
Wed Jan 17 23:59:19 +0000 2024;1747770607968940373;Ngeliat nya ini jadi pengen beli deh Galaxy S24 Nonton Live Samsung Unpacked ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1583037732024356864;1747770607968940373;tessassyi;https://twitter.com/tessassyi/status/1747770607968940373
Wed Jan 17 23:59:11 +0000 2024;1747770573521059905;brooo naksir banget sama Galaxy S24 gara-gara Nonton Live Samsung Unpacked dan liat fitur canggih yg mereka punya. otw ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1646963483324604417;1747770573521059905;hannamiraali;https://twitter.com/hannamiraali/status/1747770573521059905
Wed Jan 17 23:59:08 +0000 2024;1747770563190284612;El nuevo Samsung Galaxy S24 con tecnología de inteligencia artificial en sus tres versiones disponible para la preventa desde mañana jueves en Claro La Red Más Poderosa de Puerto Rico 🔥#ad @clarotodo https://t.co/xUgpvOwZMU;0;2;0;2;es;374256165;1747770563190284612;juancpedreira;https://twitter.com/juancpedreira/status/1747770563190284612
Wed Jan 17 23:59:00 +0000 2024;1747770526087733653;naksirr secara bruntal sama Galaxy S24  Nonton Live Samsung Unpacked tadi bikin gue pengen ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1584402443408125952;1747770526087733653;thegeogeorge;https://twitter.com/thegeogeorge/status/1747770526087733653
Wed Jan 17 23:58:59 +0000 2024;1747770522975220008;Vendo aqui o Samsung S24, é irmãs, o teto tecnológico chegou :(;0;0;0;2;pt;730801709363150848;1747770522975220008;itsagnics;https://twitter.com/itsagnics/status/1747770522975220008
Wed Jan 17 23:58:52 +0000 2024;1747770493695099007;Yok gazzz pengen beli Galaxy S24 Nonton Live Samsung Unpacked ikutan pre-order #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;1628971472604774400;1747770493695099007;tanialenaz;https://twitter.com/tanialenaz/status/1747770493695099007
Wed Jan 17 23:58:50 +0000 2024;1747770486829007095;Nah ini yang terbaru Galaxy S24. Nonton Live Samsung Unpacked ikutan pre-order jadi pengen beli  #SamsungUnpacked #GalaxyS24 @samsungID;0;0;0;0;in;886951851794378752;1747770486829007095;damseleu;https://twitter.com/damseleu/status/1747770486829007095
